Species	Date_described	Marker	Version	ITS_GenBank_Accession	Genbank_species_names	reference	date_genbank_entry	Tax_ID	Marker_complete	genbank_entry_len	start	stop	Comments_on_ITS_region	ITS_Clade	sub-clade	UK	Geographical_distribution	Recorded_Host	Preferred_environment	DNA_only	Comment_General	Temp._Optima	Temp._Maxima	Cox	Evidence_type	Assertion_method	Source	Xref_accession	Confidence	Notes	Change_note
Phytophthora sojae	1958	ITS	1	KU211412	Phytophthora_sojae_isolate	" Rojas,J.A., Jacobs,J., Napieralski,S., Karaj,B., Bradley,C.A., Chase,T., Esker,P., Giesler,L., Jardine,D., Malvick,D., Markell,S., Nelson,B., Robertson,A., Rupe,J., Smith,D., Smith,D., Sweets,L., Tenuta,A., Wise,K. and Chilvers,M. title: Oomycete species associated with soybean seedlings in North America journal: Phytopathology (2016) In press medline id:  pubmed id:  comment:  location: [0:929] "	14-Sep-16	67593	Yes	929	41	239		7	b	Not in UK															
Phytophthora sp. aff. meadii	2017	ITS	1	KC875839	Phytophthora_aff._meadii	" De Patrizio,A., Cacciola,S.O., Chau,M.N., Hoa,V.N., Wright,S., Ramstedt,M., Olsson,C. and Magnano di San Lio,G. title: First report of infections of Phytopthora colocasiae, P. insolita and P. meadii on pummelo fruit in Vietnam journal: Unpublished medline id:  pubmed id:  comment:  location: [0:766] "	25-Feb-16	1806582	Yes	766	1	145	morphotype 2	2	a	Not in UK	Vietnam	fruits and necrotic fibrous roots of pomelo trees	Farmed land		Three morphotypes identified			KT366919							
Phytophthora sp. mekongensis type1	2017	ITS	1	KC875838	Phytophthora_aff._meadii	" De Patrizio,A., Cacciola,S.O., Chau,M.N., Hoa,V.N., Wright,S., Ramstedt,M., Olsson,C. and Magnano di San Lio,G. title: First report of infections of Phytopthora colocasiae, P. insolita and P. meadii on pummelo fruit in Vietnam journal: Unpublished medline id:  pubmed id:  comment:  location: [0:755] "	25-Feb-16	1806582	NO	755	1	145	morphotype 1	2	a	Not in UK	Vietnam	pomelo fruits collected from the soil	Farmed land		Three morphotypes identified			KT366920							
Phytophthora sp. mekongensis type3	2017	ITS	1	KM501564	Phytophthora_aff._meadii	" De Patrizio,A., Puglisi,I., Schena,L., Faedda,R., Chau,N.M., Hoa,N.M., Olsson,C., Wright,S., Ramstedt,M., Pane,A., Magnano di San Lio,G. and Cacciola,S.O. title: Brown rot of pomelo fruits caused by mixed infections of Phytophthora species in Vietnam journal: Unpublished medline id:  pubmed id:  comment:  location: [0:766] "	03-Aug-15	1696985	NO	766	1	145	morphotype 3	2	a	Not in UK	Vietnam	fruits and necrotic fibrous roots of pomelo trees	Farmed land		Three morphotypes identified			KU640394							
Phytophthora sp. prodigiosa	2017	ITS	1	KC875840	Phytophthora_insolita_isolate	" De Patrizio,A., Cacciola,S.O., Chau,M.N., Hoa,V.N., Wright,S., Ramstedt,M., Olsson,C. and Magnano di San Lio,G. title: First report of infections of Phytopthora colocasiae, P. insolita and P. meadii on pummelo fruit in Vietnam journal: Unpublished medline id:  pubmed id:  comment:  location: [0:801] "	25-Feb-16	127442	Yes	801				9	a	Not in UK	Vietnam	fallen fruits of pomelo trees	Farmed land		like P. insolita			KT366918							
Phytophthora sp._personii		ITS	1	EU301169	Phytophthora_sp._personii	" Burgess,T.I., Webster,J.L., Ciampini,J.A., White,D., Hardy,G.E. and Stukely,M.J.C. title: Re-evaluation of Phytophthora Species Isolated During 30 Years of Vegetation Health Surveys in Western Australia Using Molecular Techniques journal: Plant Dis. 93 (3), 215-223 (2009) medline id:  pubmed id:  comment:  location: [0:816] "	19-May-11	634257	Yes	816	1	193		6																	
Phytophthora sp_Pecan		ITS	1	GU997621	Phytophthora_sp._P16825	" Coffey,M.D. and Brar,A.K. title: Characterization of a new species of Phytophthora attacking pecans journal: Unpublished medline id:  pubmed id:  comment:  location: [0:788] "	14-Nov-10	766754	Yes	788	1	180		4																	
Phytophthora stricta	2014	ITS	1	KF192695	Phytophthora_stricta_isolate	" Yang,X., Copes,W.E. and Hong,C. title: Two novel species representing a new clade and cluster of Phytophthora journal: Fungal Biol 118 (1), 72-82 (2014) medline id:  pubmed id: 24433678 comment:  location: [0:813] "	15-Jan-14	1401295	Yes	813	1	185	new species - irrigation. Clade maybe 11 or 8. Not sure	11		Not in UK	"Mississippi, USA"	Nursery reservoir	unknown												
Phytophthora syringae	1905	ITS	1	KJ755130	Phytophthora_syringae	" Koenig,S., Schwenkbier,L., Wagner,S., Pollok,S., Weber,J., Hentschel,M., Popp,J., Weber,K. and Werres,S. title: Potential of ITS and Ypt1 for the identification of Phytophthora species in a Lab-on-a-Chip oligonucleotide array journal: Unpublished medline id:  pubmed id:  comment:  location: [0:884] "	07-Jun-14	67594	Yes	884	33	205	"AS river survey, AS nursery survey plus SCRI SF"	8	d	Scotland	Widespread	Ornamentals	Multiple		"Fruit trees and ornamentals affected, abundant in rivers, Rhododendron, Syringa, Viburnam"	18-24	24								
Phytophthora taxon aquatilis	2012	ITS	1	FJ666126	Phytophthora_sp._CCH-2009a	" Hong,C. title: Two new homothallic nonpapillate species of Phytophthora from irrigation reservoirs and natural waterways in Virginia, USA journal: Unpublished medline id:  pubmed id:  comment:  location: [0:804] "	09-Mar-09	611796	Yes	804	1	191		2	c	Not in UK								KF317103.1							
Phytophthora taxon cuyabensis		ITS	1	FJ801995	Phytophthora_cuyabensis_clone	" Coffey,M.D., Xu,E., Cunningham,I.M. and Sarhan,E.A. title: ITS Sequences from the World Phytophthora Collection (WPC) for the Phytophthora Database (PI) journal: Unpublished medline id:  pubmed id:  comment:  location: [0:749] "	02-May-09	445396	Yes	749	1	143		9																	
Phytophthora taxon cyperaceae		ITS	1	KJ372258	Phytophthora_taxon_cyperaceae	" Burgess,T.I. title: Re-evaluation of the Phytophthora alticola/P. arenaria species complex journal: Unpublished medline id:  pubmed id:  comment:  location: [0:811] "	26-Jan-16	1457388	Yes	811	1	190		6																	
Phytophthora taxon gondwanense	2015	ITS	1	KP070696	Phytophthora_sp._gondwanense	" Scarlett,K., Daniel,R., Shuttleworth,L., Roy,B., Bishop,T.F.A. and Guest,D.I. title: Phytophthora in the Gondwana Rainforests of Australia World Heritage Area journal: Australas. Plant Pathol. (2015) In press medline id:  pubmed id:  comment: Publication Status: Available-Online prior to print location: [0:793] "	10-Jul-15	1593254	NO	793				10		Not in UK	Australia				forest survey not yet decribed ITS as boehmeriae										
Phytophthora taxon kunnunara		ITS	1	EF437222	Phytophthora_sp._Kunnunara	" Cunnington,J. title: Direct Submission journal: Submitted (14-FEB-2007) Primary Industries, Knoxfield Centre, Private Bag 15 Ferntree Gully Delivery Centre, Knoxfield Vic., 3156, Australia medline id:  pubmed id:  comment:  "	24-Mar-07	429744	Yes	744	1	146		9																	
Phytophthora taxon pocumtuck	2016	ITS	1	KP749380	Phytophthora_sp._NJB-2015	" Brazee,N.J., Wick,R.L. and Hulvey,J.P. title: Phytophthora species recovered from the Connecticut River Valley in Massachusetts, USA journal: Unpublished medline id:  pubmed id:  comment:  location: [0:796] "	02-Aug-15		NO	796	1	179		6		Not in UK	USA	Water			River samples only. As borealis at ITS level										
Phytophthora taxon umtamvuna		ITS	1	KC855181	Phytophthora_sp._Umtamvuna	" Oh,E., Wingfield,M.J. and Burgess,T.I. title: Surveys of soil and water reveal a goldmine of Phytophthora diversity in South African natural ecosystems journal: Unpublished medline id:  pubmed id:  comment:  location: [0:744] "	02-Jun-13	1329263	Yes	744	1	145		9																	
Phytophthora taxon_paludosa		ITS	1	HQ012953	Phytophthora_taxon_paludosa	" Jung,T., Stukely,M.J., Hardy,G.E., White,D., Paap,T., Dunstan,W.A. and Burgess,T.I. title: Multiple new Phytophthora species from ITS Clade 6 associated with natural ecosystems in Australia: evolutionary and ecological implications journal: Persoonia 26, 13-39 (2011) medline id:  pubmed id: 22025801 comment:  location: [0:817] "	01-Aug-11	880410	Yes	817	1	191		6																	
Phytophthora tentaculata	1996	ITS	1	AF266775	Phytophthora_tentaculata	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:792] "	17-Dec-15	129362		792	1	182		1	b	Not in UK					reports from UK Beatrice										
Phytophthora terminalis	2015	ITS	1	JX978167	Phytophthora_terminalis	" Man In 't Veld,W.A., Rosendahl,K.C., van Rijswick,P.C., Meffert,J.P., Westenberg,M., van de Vossenberg,B.T., Denton,G. and van Kuik,F.A. title: Phytophthora terminalis sp. nov. and Phytophthora occultans sp. nov., two invasive pathogens of ornamental plants in Europe journal: Mycologia 107 (1), 54-65 (2015) medline id:  pubmed id: 25261495 comment:  location: [0:782] "	18-Feb-15	1385621	Yes	782	1	162	new species - plant trade	2	a	Not in UK															
Phytophthora thermophila	2011	ITS	1	EU301152	Phytophthora_thermophila	" Burgess,T.I., Webster,J.L., Ciampini,J.A., White,D., Hardy,G.E. and Stukely,M.J.C. title: Re-evaluation of Phytophthora Species Isolated During 30 Years of Vegetation Health Surveys in Western Australia Using Molecular Techniques journal: Plant Dis. 93 (3), 215-223 (2009) medline id:  pubmed id:  comment:  location: [0:818] "	19-May-11	880414	Yes	818	1	194		6		Not in UK															
Phytophthora trifolii	1991	ITS	1	FJ746644	Phytophthora_trifolii	" Igo,H., Suh,S.-O. and Zhou,J. title: ATCC Mycology Authentication Project journal: Unpublished medline id:  pubmed id:  comment:  location: [0:819] "	17-Mar-09	54511	Yes	819	10	180		8	a	Not in UK															
Phytophthora tropicalis	2001	ITS	1	FJ801320	Phytophthora_tropicalis_clone	" Coffey,M.D., Xu,E., Cunningham,I.M. and Sarhan,E.A. title: ITS Sequences from the World Phytophthora Collection (WPC) for the Phytophthora Database (PI) journal: Unpublished medline id:  pubmed id:  comment:  location: [0:752] "	02-May-09	137729	Yes	752	1	140		2		Not in UK															
Phytophthora tubulina	2017	ITS	1	na					NO					11		Not in UK					not yet published										
Phytophthora tyrrhenica	2017	ITS	1	na					NO					7	a	Not in UK	Sicily														
Phytophthora uliginosa	2002	ITS	1	AF449495	Phytophthora_uliginosa_isolate	" Jung,T., Hansen,E., Winton,L., Osswald,W. and Delatour,C. title: Three new species of Phytophthora from European oak forests journal: Mycol. Res. (2002) In press medline id:  pubmed id:  comment:  location: [0:860] "	17-Dec-01	180902	Yes	860	27	226		7	a	Not in UK						15-21	21								
Phytophthora umhlaba	2017	ITS	1	na					NO					na		Not in UK	South Africa				Tanay Bose IMA Fungus under review										
Phytophthora verrucosa	1940	ITS	1	na					NO					na		Not in UK															
Phytophthora vignae	1957	ITS	1	AF266766	Phytophthora_vignae	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:827] "	17-Dec-15	67595		827	1	200		7	b	Not in UK															
Phytophthora virginiana	2013	ITS	1	KC295544	Phytophthora_virginiana_isolate	" Yang,X. and Hong,C. title: Phytophthora virginiana sp. nov., a high-temperature tolerant species from irrigation water in Virginia journal: Mycotaxon 126, 167-176 (2013) medline id:  pubmed id:  comment:  location: [0:745] "	20-Mar-14	1477121	Yes	745	1	146		9		Not in UK	USA	Water	Water		"Nursery irrigation water Virginia, USA"	30	40								
Phytophthora vulcanica	2017	ITS	1	na					NO					7	a	Not in UK	Sicily														
Phytophthora x cambivora	2016	ITS	1	KU899179	Phytophthora_cambivora_isolate	" Jung,T., Horta Jung,M., Scanu,B., Seress,D., Kovacs,G.M., Maia,C., Perez-Sierra,A., Chang,T.-T., Abad-Campos,P., Leon,M. and Bakonyi,J. title: Six new Phytophthora species from ITS Clade 7a including two sexually functional heterothallic hybrid species detected in natural ecosystems in Taiwan journal: Persoonia 38, 100-135 (2016) medline id:  pubmed id:  comment:  location: [0:831] "	02-Nov-16	53983	Yes	831	1	199	Jung Persoonia 2016	7		Not in UK	Taiwan		Forests		Survey of generally healthy forests in Taiwan	n/a	n/a								
Phytophthora x heterohybrida	2016	ITS	1	KU517151	Phytophthora_x_heterohybrida	" Jung,T., Horta Jung,M., Scanu,B., Seress,D., Kovacs,G.M., Maia,C., Perez-Sierra,A., Chandelier,T.-T., Heungens,H., van Poucke,K., Abad-Campos,P., Leon,M., Cacciola,S.O. and Bakonyi,J. title: Six new Phytophthora species from ITS Clade 7a including two sexually functional heterothallic hybrid species detected in natural ecosystems in Taiwan journal: Persoonia 38, 100-135 (2017) medline id:  pubmed id:  comment:  location: [0:831] "	28-Oct-16	1861847	Yes	831	1	199	Jung Persoonia 2016	7		Not in UK	Taiwan		Forests		Survey of generally healthy forests in Taiwan	n/a	n/a								
Phytophthora x incrassata	2016	ITS	1	KU517156	Phytophthora_x_incrassata	" Jung,T., Horta Jung,M., Scanu,B., Seress,D., Kovacs,G.M., Maia,C., Perez-Sierra,A., Chandelier,T.-T., Heungens,H., van Poucke,K., Abad-Campos,P., Leon,M., Cacciola,S.O. and Bakonyi,J. title: Six new Phytophthora species from ITS Clade 7a including two sexually functional heterothallic hybrid species detected in natural ecosystems in Taiwan journal: Persoonia 38, 100-135 (2017) medline id:  pubmed id:  comment:  location: [0:830] "	28-Oct-16	1861858	Yes	830	1	198	Jung Persoonia 2016	7		Not in UK	Taiwan		Forests		Survey of generally healthy forests in Taiwan	n/a	n/a								
Phytophthora X pelgrandis	2009	ITS	1	EU660831	Phytophthora_nicotianae_x	" Nirenberg,H.I., Gerlach,W.F. and Grafenhan,T. title: Phytophthora x pelgrandis, a new natural hybrid pathogenic to Pelargonium grandiflorum hort journal: Mycologia 101 (2), 220-231 (2009) medline id:  pubmed id: 19397195 comment:  location: [0:769] "	21-Jan-10	376158	Yes	769	1	161		1		Not in UK		Pelargonium			hybrid of P cactorum and P nicotianae no ITS seq variation from parent so no data in GenBank										
Phytophthora X serendipita	2012	ITS	1	JX276054	Phytophthora_x_serendipita	" Nowakowska,J., Milenkovic,I., Oszako,T., Borys,M., Sikora,K., Belbahri,L. and Kubiak,K. title: Diversity of Oomycetes in soils of declining Polish and Serbian forests journal: Unpublished medline id:  pubmed id:  comment:  location: [0:812] "	20-Oct-15	1567491	Yes	812	1	184		1		Not in UK															
Phytophthora X stagnum	2014	ITS	1	KJ705084	Phytophthora_x_stagnum	" Yang,X., Richardson,P.A. and Hong,C. title: Phytophthora xstagnum nothosp. nov., a New Hybrid from Irrigation Reservoirs at Ornamental Plant Nurseries in Virginia journal: PLoS ONE 9 (7), E103450 (2014) medline id:  pubmed id: 25072374 comment: Publication Status: Online-Only location: [0:816] "	31-Jul-14	1306403	Yes	816	1	192	hybrid 3 ITSs	6	b	Not in UK	"Eastern Virginia, USA"				Irrigation reservoirs and plant production units	25	35	KC631620							
Phytophthora X stagnum	2014	ITS	1	KJ705085	Phytophthora_x_stagnum	" Yang,X., Richardson,P.A. and Hong,C. title: Phytophthora xstagnum nothosp. nov., a New Hybrid from Irrigation Reservoirs at Ornamental Plant Nurseries in Virginia journal: PLoS ONE 9 (7), E103450 (2014) medline id:  pubmed id: 25072374 comment: Publication Status: Online-Only location: [0:816] "	31-Jul-14	1306403	Yes	816	1	192	hybrid 3 ITSs	6	b	Not in UK	"Eastern Virginia, USA"				Irrigation reservoirs and plant production units	25	35	KC631620							
Phytophthora X stagnum	2014	ITS	1	KJ705086	Phytophthora_x_stagnum	" Yang,X., Richardson,P.A. and Hong,C. title: Phytophthora xstagnum nothosp. nov., a New Hybrid from Irrigation Reservoirs at Ornamental Plant Nurseries in Virginia journal: PLoS ONE 9 (7), E103450 (2014) medline id:  pubmed id: 25072374 comment: Publication Status: Online-Only location: [0:819] "	31-Jul-14	1306403	Yes	819	1	195	hybrid 3 ITSs	6	b	Not in UK	"Eastern Virginia, USA"				Irrigation reservoirs and plant production units	25	35	KC631620							
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
